change_plants|Change Plants
rocket_unlock_GrapheneFactoryImprovement|Your engineers studied a world that was covered with a layer of graphene. With some further research, they could make graphene factories work faster.
rocket_unlock_RocketMissionSupercomputerUpgrade|You saw a world that was a giant abandoned supercomputer. Your engineers took some of its technology to make your own supercomputer produce more knowledge.
mission_completed_nothing_found|Your mission successfully returned, but unfortunately you found nothing special.
rocket_unlock_RocketTeleporterCostReductionFromWorld|You landed on a world that turned out to be a maze of teleporters. After finally making it out, your engineers managed to make your own teleporters run more efficiently.
following_animal|Following Creature
cant_find_animal|You can't find the creature anymore.
buildinginfo.json/AlienNightClub.name|Alien Nightclub
buildinginfo.json/AlienNightClub.description|People love dancing with an alien atmosphere.
buildingUpgradesInfo.json/GrapheneFactoryImprovement.name|Improved Precision
buildingUpgradesInfo.json/GrapheneFactoryImprovement.description|The factory works 50% faster.
rocket_unlock_RocketMissionRocketFuelFactoryUpgrade|On a jungle world, you found some bacteria that produce fuel from waste. Your biologists used this knowledge to make your rocket fuel factories work faster.
choose_crew|Choose Crew
choose_crew_explain|Four crew members fit in the rocket. You can choose workers from certain buildings. Choose them wisely to affect what you can find.
rocket_explorer_explain|Find signs of civilization
rocket_engineer_explain|Find technology
rocket_botanical_explain|Find plants or animals
rocket_navigator_explain|Reduce fuel cost and journey time
rocket_miner_explain|Gain resources and fossils
start_mission|Start Mission!

center_on_work|Center view on work
center_on_school|Center view on school
center_on_house|Center view on home

rocket_unlock_RocketMissionCheaperRockets|Your explorers found a rocket wreck. They investigated it and found a way to build rockets using fewer materials.

file_description_colony|[0] & [1] other - [2] citizens
stories.json/RocketExploreRockLand.name|Rock World
switch_city_menu|Switch to an associated city
switch_city|Switch City
rocket_other_planet_explain|Send resources or citizens.
rocket_other_planet_explain_more|A crew of four explorers will accompany the ship on this mission. It will use [0] rocket fuel.
rocket_other_planet_ask|What do you want to send?
dont_have_materials|You don't have enough materials for that.
mission_warning_no_citizens_to_send_found|We couldn't find enough citizens to send to the other city!
mission_gathering|Gathering crew...
mission_gathering_2|Gathering citizens...
rocket_other_city_tutorial|You can now switch to your explored city! After you've visited it once, you can send resources and citizens with the rocket.
rocket_unlock_RocketSubCityRockWorld|Your explorers found a rocky new world. It seems a bit barren, but it also looks habitable. You can now colonize it.
rocket_unlock_RocketSubCityStrangeForests|Your explorers found a group of habitable wooded worlds you can now colonize.
citizen_left|[0] left the city.
stories.json/RocketExploreStrangeForests.name|Wooded Worlds
buildableWorldResourcesInfo.json/RedForest.name|Red Forest
buildableWorldResourcesInfo.json/RedForest.description|Plant young trees which will grow to a red forest.
buildableWorldResourcesInfo.json/PurpleForest.name|Purple Forest
buildableWorldResourcesInfo.json/PurpleForest.description|Plant young trees which will grow to a otherworldly purple forest.
limitedBuilding|Limit: [0]

buildinginfo.json/RocketLaunchPlatform.description|Build rockets to explore space.
allow_zooming_out_further|Allow zooming out further
rocket_unlock_AlienNightClub|Your explorers found an abandoned nightclub. The lights were still working. They took some parts of it, and documented it carefully, so you can now rebuild it.

explorers|Explorers
engineers|Engineers
biologists|Biologists
navigators|Navigators
miners|Miners
buildinginfo.json/UnderwaterHouse.description|Live among the fishes!
buildinginfo.json/Mansion.name|Mansion
buildinginfo.json/Mansion.description|A large, luxurious house with a private teleporter. It improves education of residents, and makes them live slightly longer. The housing quality is increased by 25 if connected to another mansion.
buildinginfo.json/RooftopPark.name|Rooftop Park
buildinginfo.json/RooftopPark.description|Green roofs can look really nice and give your citizens more space to experience nature.
buildinginfo.json/FeatherAlliance.name|Feather Alliance Outpost
buildinginfo.json/FeatherAlliance.description|The Feather Alliance has one simple goal: discover everything they can about the universe. They'd appreciate your help.

redwoodtree_credits|Texture and concept by Luk XD 99
build_redwood_wait|You can make this redwood grow in [0] hours.
build_redwood_wait_1|You can make this redwood grow in one hour.
buildinginfo.json/RedwoodTree.name|Redwood Tree
buildinginfo.json/RedwoodTree.description|A tree that can grow really tall. It can only be built on the ground. You can make it grow once every 24 hours.
buildinginfo.json/RedwoodTreeHouse.name|Redwood Tree House
buildinginfo.json/RedwoodTree.showUnlockHint|Build 40 Community Houses to unlock!
build_redwood_house|Build Tree House
build_redwood_house_description|Build a tree house here. It can house two people.
build_redwood|Make Redwood Grow
build_redwood_description|Make this redwood grow taller. You can do this once every 24 hours.
redwoodtree_cannot_destroy_because_house_limits|You cannot destroy this redwood tree, as that would result a tree house to be placed in an incorrect location.
add_grass|Add Grass
remove_grass|Remove Grass
remove_redwood_house|Remove Tree House

buildingUpgradesInfo.json/TheMachineUpgrade.name|Machine Tuning
buildingUpgradesInfo.json/TheMachineUpgrade.description|The Machine produces 50% more materials and it sometimes also produces graphene and rocket fuel. If it's ever destroyed, Secret Society of the Key members stay alive longer. Members of the Feather Alliance live longer.

jobs_filled_featheralliance|Gather the birds: Make sure all 7 jobs are filled.
feather_alliance_mission_0|Make the Future Fast:\nProduce at least 100 graphene in a day.
feather_alliance_mission_1|Explore the Neighborhood:\nUse rockets to explore nearby space completely.
feather_alliance_mission_2|Returning Home Should Be Pleasant:\nBuild ten rooftop parks.
feather_alliance_mission_3|Help Our Allies:\nResearch Machine Tuning.
feather_alliance_mission_4|Look Beyond the End of Your Nose:\nExplore distant space completely.
feather_alliance_mission_5|Our Own Adventure:\nSend out a rocket on the Feather Alliance Trip.
feather_alliance_mission_6|Now We Need Some Rest:\nBuild two mansions.
feather_alliance_mission_7|Bring Our Knowledge Together:\nBuild the Intergalactic Library.
feather_alliance_mission|Feather Alliance Mission
feather_alliance_done|We'll keep exploring!

feather_mission|Feather Alliance Trip
feather_mission_explain|The Feather Alliance would like to go on a long trip to explore the universe.
feather_result|The Feather Alliance have successfully completed their trip! They have, among other discoveries, found a new colonizable group of worlds.

buildinginfo.json/IntergalacticLibrary.name|Intergalactic Library
buildinginfo.json/IntergalacticLibrary.description|This grand library greatly educates visitors. Workers produce knowledge based on the total number of citizens in associated cities. Also allows you to research city upgrades.
cityUpgradesInfo.json/LibraryAllowDuplicates.name|Metropolis
cityUpgradesInfo.json/LibraryAllowDuplicates.description|Allows you to build the following unique buildings a second time: Workshop, Experimental Farm, Observatory, Art Colony, Computing Research Center, Living Research Center, Lab Escape Room, and Supercomputer. Their city upgrades are still available only once.
cityUpgradesInfo.json/ConnectedMachines.name|Connected Machines
cityUpgradesInfo.json/ConnectedMachines.description|The production of The Machine is increased by 50% for each Machine in an associated city.
cityUpgradesInfo.json/GeneEditing.name|Gene Editing
cityUpgradesInfo.json/GeneEditing.description|Allows you to plant the purple and red forests and grass from Wooded Worlds, and the blue flowers from Bridge Worlds.
decorationsInfo.json/spr_purplegrass.name|Purple Grass
decorationsInfo.json/spr_redgrass.name|Red Grass
decorationsInfo.json/spr_flowers_blue.name|High Grass with Blue Flowers

stories.json/RocketExploreFeather.name|Bridge Worlds
bridgesInfo.json/WoodenBridge.name|Wooden Bridge
bridgesInfo.json/WoodenBridge.description|This wooden footbridge connects two buildings at most three spaces apart. Space ships from Landing Pads can travel through it.

stories.json/rocketLaunch.name|The Spaceport
stories.json/rocketLaunch.description|There seems to be a lot of space to explore, so you set out to build a rocket.
rocketLaunch.json/Start.text|There's a lot of space left to explore. Building a rocket would make that a lot easier. This gray stone world looks like the perfect spot to use as a launch site.\n\nThere's already a small colony here, but you'll want to expand it. You can invite extra citizens as desired. Also, let's make these people a bit happier. Increase their happiness to at 75.
rocketLaunch.json/Start.quickText|Bring the happiness above 75.
rocketLaunch.json/BuildBridges.text|Your citizens feel much happier now! [c]You've already built some bridges, great![/][n]It'd be useful if people could walk more easily between towers or even worlds. Build three bridges to make that happen.[/]
rocketLaunch.json/BuildBridges.quickText|Build three bridges.
rocketLaunch.json/MakeComputerChips1.text|Building and navigating a rocket would be really hard without computers. Therefore, you'll need some computer chips. Let's build a computing research center and then a computer chip factory.
rocketLaunch.json/MakeComputerChips1.quickText|Build a computing research center and then a computer chip factory.
rocketLaunch.json/MakeComputerChips.text|Just a few computer chips won't be enough. You'll need a steady supply. Let's produce at least 30 a day.
rocketLaunch.json/MakeComputerChips.quickText|Produce at least 30 computer chips in a day.
rocketLaunch.json/BuildSuperComputer.text|Making a rocket isn't an easy task, so you'll need a lot of knowledge. A supercomputer can help gather knowledge, so let's build one. It's not cheap though, so ensure you invite enough citizens, and that they have good transportation so they don't spend too much time traveling to work.
rocketLaunch.json/BuildSuperComputer.quickText|Build the Supercomputer.
rocketLaunch.json/MakeGraphene.text|Now you're gathering knowledge quickly, it's time to look into a new material. Graphene is an incredibly thin and light, yet strong, material. That makes it a great material to use in building a rocket. You'll need to experiment a bit before you can use the material properly, though. Let's build a graphene lab to do that and start making your first sheets of graphene.
rocketLaunch.json/MakeGraphene.quickText|Build a graphene lab.
rocketLaunch.json/MakeGrapheneBuilding.text|Graphene has more uses than just building rockets. For example, floating platforms can be used to expand your city or bridge gaps. Let's build one.
rocketLaunch.json/MakeGrapheneBuilding.quickText|Build a floating platform.
rocketLaunch.json/MakeGraphene2.text|The graphene lab is a fine way to make graphene, but it is rather slow. The graphene factory uses knowledge to operate, but it works much quicker. Let's build one.
rocketLaunch.json/MakeGraphene2.quickText|Build a graphene factory.
rocketLaunch.json/MakeRocketLaunch.text|You'll need a place to launch your rocket from, so let's build a rocket launch platform.
rocketLaunch.json/MakeRocketLaunch.quickText|Build a rocket launch platform.
rocketLaunch.json/MakeFuelFactories.text|The rocket will need fuel, or it'll just stay on the ground. You can use food or wood to make biofuel. Build at least three rocket fuel factories to start producing some.
rocketLaunch.json/MakeFuelFactories.quickText|Build three rocket fuel factories.
rocketLaunch.json/MakeRocket.text|Now that your rocket fuel is steadily being produced, you can actually build your first rocket! 
rocketLaunch.json/MakeRocket.quickText|Build a rocket.
rocketLaunch.json/LaunchRocket.text|Now, it's finally time to launch! Launch a rocket to nearby space with some explorers in it.
rocketLaunch.json/LaunchRocket.quickText|Launch a rocket to nearby space with at least one explorer in it.
rocketLaunch.json/Win.text|Your rocket mission was successful, and you found another world to build on! Great job! You can now continue building an intergalactic society across multiple cities. You can also launch more rocket missions to discover even more!
